"_time","event.event_type","event.source","event.alarm_title","event.alert_description"
"2017-08-09T00:00:47.964-0700","alert.raw.wavefront","igtm-svc-las_eth0.dcnet.intuit.net","PI:Network:f5 cpu utilization"," Failing metric : network.f5.sysmultihostcputable.cpuusageratio.5m
 Tags : cpu=1,model=big-ip_3900,location=las,os=f5,zone=1
 query : align(60s,max,ts(""network.f5.sysmultihostcputable.cpuusageratio.5m"" )) > 50
 url : https://intuit.wavefront.com/u/WJKxzFz4Gm"
"2017-08-09T00:00:47.964-0700","alert.raw.wavefront","igtm-svc-las_eth0.dcnet.intuit.net","PI:Network:f5 cpu utilization"," Failing metric : network.f5.sysmultihostcputable.cpuusageratio.5m
 Tags : cpu=1,model=big-ip_3900,location=las,os=f5,zone=1
 query : align(60s,max,ts(""network.f5.sysmultihostcputable.cpuusageratio.5m"" )) > 50
 url : https://intuit.wavefront.com/u/WJKxzFz4Gm"
"2017-08-09T00:00:47.964-0700","alert.raw.wavefront","waqc-igtm1_eth0.dcnet.intuit.net","PI:Network:f5 cpu utilization"," Failing metric : network.f5.sysmultihostcputable.cpuusageratio.5m
 Tags : cpu=3,model=big-ip_3900,location=qcy,os=f5,zone=a
 query : align(60s,max,ts(""network.f5.sysmultihostcputable.cpuusageratio.5m"" )) > 50
 url : https://intuit.wavefront.com/u/WJKxzFz4Gm"
"2017-08-09T00:00:47.964-0700","alert.raw.wavefront","waqc-igtm1_eth0.dcnet.intuit.net","PI:Network:f5 cpu utilization"," Failing metric : network.f5.sysmultihostcputable.cpuusageratio.5m
 Tags : cpu=3,model=big-ip_3900,location=qcy,os=f5,zone=a
 query : align(60s,max,ts(""network.f5.sysmultihostcputable.cpuusageratio.5m"" )) > 50
 url : https://intuit.wavefront.com/u/WJKxzFz4Gm"
"2017-08-09T00:00:47.964-0700","alert.raw.wavefront","igtm-qcy.dcnet.intuit.net","PI:Network:f5 cpu utilization"," Failing metric : network.f5.sysmultihostcputable.cpuusageratio.5m
 Tags : cpu=3,model=big-ip_3900,location=qcy,os=f5,zone=a
 query : align(60s,max,ts(""network.f5.sysmultihostcputable.cpuusageratio.5m"" )) > 50
 url : https://intuit.wavefront.com/u/WJKxzFz4Gm"
"2017-08-09T00:00:47.964-0700","alert.raw.wavefront","igtm-qcy.dcnet.intuit.net","PI:Network:f5 cpu utilization"," Failing metric : network.f5.sysmultihostcputable.cpuusageratio.5m
 Tags : cpu=3,model=big-ip_3900,location=qcy,os=f5,zone=a
 query : align(60s,max,ts(""network.f5.sysmultihostcputable.cpuusageratio.5m"" )) > 50
 url : https://intuit.wavefront.com/u/WJKxzFz4Gm"
"2017-08-08T22:26:37.821-0700","alert.raw.wavefront","waqc-igtm1_eth0.dcnet.intuit.net","PI:Network:f5 cpu utilization"," Failing metric : network.f5.sysmultihostcputable.cpuusageratio.5m
 Tags : cpu=3,model=big-ip_3900,location=qcy,os=f5,zone=a
 query : align(60s,max,ts(""network.f5.sysmultihostcputable.cpuusageratio.5m"" )) > 50
 url : https://intuit.wavefront.com/u/FlJWf9fSxy"
"2017-08-08T22:26:37.821-0700","alert.raw.wavefront","waqc-igtm1_eth0.dcnet.intuit.net","PI:Network:f5 cpu utilization"," Failing metric : network.f5.sysmultihostcputable.cpuusageratio.5m
 Tags : cpu=3,model=big-ip_3900,location=qcy,os=f5,zone=a
 query : align(60s,max,ts(""network.f5.sysmultihostcputable.cpuusageratio.5m"" )) > 50
 url : https://intuit.wavefront.com/u/FlJWf9fSxy"
"2017-08-08T22:26:37.821-0700","alert.raw.wavefront","igtm-qcy.dcnet.intuit.net","PI:Network:f5 cpu utilization"," Failing metric : network.f5.sysmultihostcputable.cpuusageratio.5m
 Tags : cpu=3,model=big-ip_3900,location=qcy,os=f5,zone=a
 query : align(60s,max,ts(""network.f5.sysmultihostcputable.cpuusageratio.5m"" )) > 50
 url : https://intuit.wavefront.com/u/FlJWf9fSxy"
"2017-08-08T22:26:37.821-0700","alert.raw.wavefront","igtm-qcy.dcnet.intuit.net","PI:Network:f5 cpu utilization"," Failing metric : network.f5.sysmultihostcputable.cpuusageratio.5m
 Tags : cpu=3,model=big-ip_3900,location=qcy,os=f5,zone=a
 query : align(60s,max,ts(""network.f5.sysmultihostcputable.cpuusageratio.5m"" )) > 50
 url : https://intuit.wavefront.com/u/FlJWf9fSxy"
