%1.Title:Laptops
%
%2.Sources:
%	(a)Creator:KrstevFilip
%	(b)Date:June,2016
%	(c)878 instances
%
@RELATION IS


@ATTRIBUTE processor	{i34th,i33rd,i51st,i52nd,i53rd,i54th,i73rd,i74th,Pentium,Celeron,Atom,AMDSemprom,AMDESeries,Core2Duo,Core2Quad}
@ATTRIBUTE memory		numeric
@ATTRIBUTE screenSize	numeric
@ATTRIBUTE grapics		{Integrated/On-BoardGraphics,DedicatedGraphics}
@ATTRIBUTE operatinS	{Windows10,Windows8,Windows7,WindowsXP,ChromeOS}
@ATTRIBUTE ssd			{Yes,No}
@ATTRIBUTE price		numeric

@DATA
AMDSemprom,4,15.6,Integrated/On-BoardGraphics,Windows7,No,229.99
i74th,16,15.6,DedicatedGraphics,Windows8,Yes,959.96
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,255
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,258.88
i74th,4 ,12.5,Integrated/On-BoardGraphics,Windows7,Yes,669.95
i54th,4,17.3,Integrated/On-BoardGraphics,Windows10,No,452
i54th,4 ,14,Integrated/On-BoardGraphics,Windows7,Yes,400
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,299.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,289.99
i54th,6,15.6,Integrated/On-BoardGraphics,Windows8,No,379.98
i54th,6,15.6,Integrated/On-BoardGraphics,Windows10,No,429.95
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,299.99
i54th,4,17.3,Integrated/On-BoardGraphics,Windows10,No,486
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,274.95
i54th,12,15.6,Integrated/On-BoardGraphics,Windows10,No,599.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,299.95
i74th,8,15.6,DedicatedGraphics,Windows10,No,846.96
i54th,8,17.3,DedicatedGraphics,Windows8,No,524.95
i54th,4,15.6,Integrated/On-BoardGraphics,Windows8,No,599.99
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,179.99
Celeron,2,15.6,Integrated/On-BoardGraphics,Windows10,No,274.69
i54th,16,14.0,Integrated/On-BoardGraphics,Windows8,Yes,469
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,399.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,349.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows7,No,359.97
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,339
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,203.88
AMDSemprom,4 ,15.6,Integrated/On-BoardGraphics,Windows8,No,294.99
AMDSemprom,4,15.6,Integrated/On-BoardGraphics,Windows7,No,299.99
Celeron,2 ,14,Integrated/On-BoardGraphics,Windows10,Yes,214.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows7,No,246.96
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,304.95
Celeron,4 ,15.6,Integrated/On-BoardGraphics,Windows8,No,329.99
Pentium,8,15.6,Integrated/On-BoardGraphics,Windows10,No,349.95
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,249.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,359.99
i74th,16,17.3,DedicatedGraphics,Windows10,No,850
i74th,8,15.6,DedicatedGraphics,Windows10,No,999.99
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,220
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,169.95
i74th,8,12,Integrated/On-BoardGraphics,Windows8,Yes,750.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,269
i33rd,6,15.6,Integrated/On-BoardGraphics,Windows8,No,409.95
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,269
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows7,No,269.95
i54th,4 ,12.5,Integrated/On-BoardGraphics,Windows8,Yes,539.95
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,250.99
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows10,No,439
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows7,No,280.05
i54th,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,559.99
i54th,6,15.6,Integrated/On-BoardGraphics,Windows10,No,539
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,359.99
i74th,12 ,17.3,DedicatedGraphics,Windows8,No,889.95
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows10,No,309.99
i54th,4 ,15.6,Integrated/On-BoardGraphics,Windows10,No,719.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,459.95
i74th,16,17.3,DedicatedGraphics,Windows8,No,1632.11
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,379.99
i74th,8,15.6,DedicatedGraphics,Windows8,No,699.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,279.99
i74th,16,12.3,Integrated/On-BoardGraphics,Windows10,Yes,1849.99
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows10,No,319
i54th,4,15.6,Integrated/On-BoardGraphics,Windows7,No,797.97
i74th,16,14,Integrated/On-BoardGraphics,Windows7,Yes,899
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,203.88
i54th,4,12.5,Integrated/On-BoardGraphics,Windows7,No,1060
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,259.99
i54th,4,17.3,Integrated/On-BoardGraphics,Windows10,No,769.99
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,Yes,1332.41
i74th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,769.99
Pentium,4 ,11.6,Integrated/On-BoardGraphics,Windows10,No,319.99
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows7,Yes,139
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,199.95
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,199.99
i74th,8,15.6,Integrated/On-BoardGraphics,Windows7,No,775
Celeron,4,15.6,Integrated/On-BoardGraphics,ChromeOS,Yes,309.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,379.99
i54th,6,15.6,Integrated/On-BoardGraphics,Windows10,No,479.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,354
i33rd,8,14,Integrated/On-BoardGraphics,Windows7,No,499
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,950
i73rd,8,14.1,DedicatedGraphics,Windows7,Yes,819.99
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows10,No,326.19
i54th,8,15.6,Integrated/On-BoardGraphics,Windows10,No,549.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,309.94
i54th,8,17.3,DedicatedGraphics,Windows7,No,619
i74th,20,17.3,DedicatedGraphics,Windows8,No,1966.9
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,289.94
i54th,8,15.6,Integrated/On-BoardGraphics,Windows10,No,549.88
i74th,20,17.3,DedicatedGraphics,Windows8,No,1966.9
i74th,8,14,Integrated/On-BoardGraphics,Windows8,No,890
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,Yes,954.53
i54th,8,14,Integrated/On-BoardGraphics,Windows8,No,499
i33rd,6,15.6,Integrated/On-BoardGraphics,Windows8,No,399.99
i54th,8,17.3,DedicatedGraphics,Windows7,No,619
i74th,16,15.6,DedicatedGraphics,Windows7,Yes,1289
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows10,No,429.99
i54th,8,14,Integrated/On-BoardGraphics,Windows7,No,729.99
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,219.99
i54th,8,17.3,DedicatedGraphics,Windows7,No,619
i74th,8,17.3,DedicatedGraphics,Windows8,No,1499.97
i54th,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,599.5
i54th,4,17.3,Integrated/On-BoardGraphics,Windows8,No,579.99
i74th,8,15.6,DedicatedGraphics,Windows8,No,779.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows7,No,359.99
i54th,8,17.3,DedicatedGraphics,Windows8,No,649
i54th,8,15.6,Integrated/On-BoardGraphics,Windows7,No,769.99
i74th,16,15.6,DedicatedGraphics,Windows10,No,899.99
i33rd,6,15.6,Integrated/On-BoardGraphics,Windows8,No,449
i74th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,979.95
i54th,8,15.6,Integrated/On-BoardGraphics,Windows10,No,455.88
Celeron,4 ,15.6,Integrated/On-BoardGraphics,Windows8,No,296.99
i74th,8,15.6,Integrated/On-BoardGraphics,Windows7,No,775
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,Yes,279.99
i74th,12,17.3,Integrated/On-BoardGraphics,Windows8,No,999.99
AMDESeries,8,15.6,Integrated/On-BoardGraphics,Windows8,No,651.16
i54th,12,15.6,Integrated/On-BoardGraphics,Windows7,No,890.95
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,599.99
i74th,8 ,13.3,Integrated/On-BoardGraphics,WindowsXP,Yes,1399.99
i54th,6,15.6,Integrated/On-BoardGraphics,Windows8,No,679.99
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows8,No,369.95
i74th,8,14,DedicatedGraphics,Windows8,No,699
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows8,No,300
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows10,No,314.76
i74th,12,15.6,Integrated/On-BoardGraphics,Windows8,No,789.99
i54th,6,15.6,Integrated/On-BoardGraphics,Windows10,No,449.88
i74th,6,15.6,Integrated/On-BoardGraphics,Windows8,No,649.99
Pentium,8,15.6,Integrated/On-BoardGraphics,Windows8,No,542.66
i54th,8,14,Integrated/On-BoardGraphics,Windows8,No,1299.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,279.94
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,Yes,219.99
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,881.59
i74th,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,1099.96
AMDSemprom,4,15.6,Integrated/On-BoardGraphics,Windows10,No,224.99
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,1447.15
i54th,4,17.3,Integrated/On-BoardGraphics,Windows10,No,499.99
i54th,6,15.6,Integrated/On-BoardGraphics,Windows8,No,569.99
i74th,8,17.3,Integrated/On-BoardGraphics,Windows10,No,899.53
i54th,8,15.6,Integrated/On-BoardGraphics,Windows10,No,599
i54th,8,15.6,Integrated/On-BoardGraphics,Windows8,No,752.98
i74th,16,15.6,DedicatedGraphics,Windows10,No,1449.86
i54th,8,15.6,Integrated/On-BoardGraphics,Windows7,No,769.99
i74th,16,15.6,DedicatedGraphics,Windows8,Yes,897.96
i53rd,4 ,11.6,Integrated/On-BoardGraphics,Windows8,Yes,499
Celeron,2,13.3,Integrated/On-BoardGraphics,Windows10,Yes,199.95
i54th,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,599.5
i33rd,8,15.6,Integrated/On-BoardGraphics,Windows8,No,678.85
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows10,No,410
i54th,12,15.6,Integrated/On-BoardGraphics,Windows8,Yes,1286.46
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,359
i54th,4,11.6,Integrated/On-BoardGraphics,Windows8,No,600.26
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,289.99
AMDSemprom,4,15.6,Integrated/On-BoardGraphics,Windows8,No,249.99
i74th,16,17.3,DedicatedGraphics,Windows10,No,1249.99
i74th,6,15.6,Integrated/On-BoardGraphics,Windows8,No,649.99
i54th,4 ,15.6,Integrated/On-BoardGraphics,Windows10,No,719.99
Celeron,2,15.6,Integrated/On-BoardGraphics,Windows8,No,278.14
i54th,4,14,Integrated/On-BoardGraphics,Windows7,No,999.53
i54th,4,14,Integrated/On-BoardGraphics,Windows7,Yes,1584.53
i33rd,4 ,14,Integrated/On-BoardGraphics,Windows7,No,798.99
i74th,12 ,15.6,DedicatedGraphics,Windows8,No,1381.91
i54th,4,17.3,Integrated/On-BoardGraphics,Windows10,No,499.99
Celeron,2,13.3,Integrated/On-BoardGraphics,Windows10,Yes,199.95
i54th,8 ,13.3,Integrated/On-BoardGraphics,WindowsXP,No,2048.99
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,Yes,229.99
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,214.97
Celeron,4,14,Integrated/On-BoardGraphics,ChromeOS,Yes,272.58
i74th,16,15.6,Integrated/On-BoardGraphics,Windows7,No,1372.76
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,Yes,219.99
i74th,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,1339.58
Pentium,8,15.6,Integrated/On-BoardGraphics,Windows8,No,499.95
i33rd,4 ,15.6,Integrated/On-BoardGraphics,Windows8,No,600
i74th,8,15.6,Integrated/On-BoardGraphics,Windows10,No,1199.53
i74th,16 ,15.6,DedicatedGraphics,Windows8,No,1478.65
i74th,16,15.6,Integrated/On-BoardGraphics,Windows8,No,1190.66
