@relation 'day-of-week-data/bris.train'
@attribute F0 {Brisbane}
@attribute F1 real
@attribute F2 real
@attribute F3 real
@attribute F4 real
@attribute F5 real
@attribute F6 real
@attribute F7 real
@attribute F8 real
@attribute F9 real
@attribute F10 real
@attribute F11 real
@attribute F12 real
@attribute F13 real
@attribute F14 real
@attribute F15 real
@attribute F16 real
@attribute F17 real
@attribute F18 real
@attribute F19 real
@attribute F20 real
@attribute F21 {Sat,Fri,Sun,Thu,Wed,Tue,Mon}
@data
Brisbane,1944,10,02,0.0,17.4,28.0,20.6,6.7,600.0,22000.0,3464.6,2400.0,160000.0,122100.0,9.6,19.1,16.6,1007.5,1012.9,1010.4,Mon
Brisbane,1944,10,09,0.0,14.1,26.8,20.5,9.3,22000.0,22000.0,22000.0,160000.0,160000.0,160000.0,12.4,16.3,14.0,1020.7,1023.4,1021.8,Mon
Brisbane,1944,10,16,0.0,15.2,27.4,21.5,11.8,750.0,22000.0,15839.6,3200.0,160000.0,72800.0,5.2,19.6,14.1,1006.8,1013.9,1009.5,Mon
Brisbane,1944,10,23,0.0,16.3,26.8,21.4,9.8,1050.0,22000.0,20435.4,160000.0,160000.0,160000.0,13.0,15.2,14.4,1018.0,1021.3,1019.9,Mon
Brisbane,1944,11,06,0.0,20.2,27.4,23.5,11.3,2400.0,22000.0,14950.0,160000.0,160000.0,160000.0,15.7,19.1,17.3,1004.4,1009.1,1006.0,Mon
Brisbane,1944,11,20,0.0,18.5,33.5,25.5,10.3,22000.0,22000.0,22000.0,1600.0,9600.0,5466.7,18.0,21.8,20.0,1005.2,1010.0,1006.9,Mon
Brisbane,1944,11,27,0.0,21.3,28.0,23.9,8.7,180.0,3600.0,1051.2,6400.0,160000.0,116333.3,18.5,21.3,20.0,1017.2,1020.3,1018.5,Mon
Brisbane,1944,12,11,0.0,25.2,37.4,29.4,13.4,3000.0,22000.0,9658.3,1600.0,160000.0,72400.0,11.3,22.4,18.9,1002.7,1006.4,1005.0,Mon
Brisbane,1944,12,25,0.0,23.0,31.8,27.3,8.7,900.0,22000.0,18658.3,160000.0,160000.0,160000.0,21.3,23.5,22.7,1008.5,1012.2,1010.4,Mon
Brisbane,1945,01,01,0.0,22.4,31.8,26.7,7.2,750.0,22000.0,9489.6,160000.0,160000.0,160000.0,20.7,25.2,22.9,1002.4,1006.8,1004.5,Mon
Brisbane,1945,01,08,0.0,21.3,26.8,24.0,5.1,600.0,22000.0,3189.6,160000.0,160000.0,160000.0,16.9,21.8,18.0,1014.6,1019.3,1016.3,Mon
Brisbane,1945,01,15,0.0,24.1,29.6,26.7,6.7,600.0,22000.0,10206.2,160000.0,160000.0,160000.0,21.3,24.1,23.3,1005.8,1009.5,1007.7,Mon
Brisbane,1945,01,22,0.0,20.2,30.2,25.0,6.2,750.0,22000.0,21114.6,4800.0,160000.0,134400.0,16.9,19.1,17.9,1014.2,1016.6,1015.1,Mon
Brisbane,1945,01,29,0.0,21.3,31.3,25.5,7.2,900.0,22000.0,14943.8,4800.0,160000.0,128066.7,17.4,20.2,18.8,1012.9,1015.2,1014.0,Mon
Brisbane,1945,02,05,0.0,19.1,28.5,23.7,6.7,900.0,22000.0,13208.3,9600.0,160000.0,141200.0,15.7,18.0,16.8,1013.5,1016.6,1015.0,Mon
Brisbane,1945,02,12,0.0,21.3,28.5,25.4,8.2,4200.0,22000.0,19787.5,3200.0,160000.0,147266.7,20.7,23.0,21.6,1002.0,1006.8,1003.2,Mon
Brisbane,1945,02,19,0.0,23.0,33.5,26.1,8.2,450.0,22000.0,6587.5,8000.0,160000.0,153666.7,20.7,24.1,22.4,1005.8,1013.5,1009.7,Mon
Brisbane,1945,03,05,0.0,23.5,31.3,27.1,7.2,3000.0,22000.0,12108.3,11200.0,160000.0,141533.3,20.2,24.1,22.9,1002.0,1006.8,1003.6,Mon
Brisbane,1945,03,12,0.0,19.1,26.3,22.5,8.2,750.0,22000.0,7068.8,160000.0,160000.0,160000.0,14.6,16.3,15.8,1019.3,1021.7,1020.4,Mon
Brisbane,1945,03,19,0.0,18.5,27.4,22.8,8.7,600.0,22000.0,15591.7,11200.0,160000.0,141400.0,16.3,20.7,17.9,1014.2,1017.3,1015.5,Mon
Brisbane,1945,03,26,0.0,19.6,29.6,24.1,5.1,3000.0,22000.0,21208.3,6400.0,160000.0,128600.0,18.0,20.2,18.8,1014.2,1018.0,1015.3,Mon
Brisbane,1945,04,02,0.0,16.9,25.7,21.0,8.2,750.0,22000.0,17929.2,160000.0,160000.0,160000.0,14.6,18.0,16.2,1010.2,1014.2,1012.2,Mon
Brisbane,1945,04,09,0.0,10.2,24.1,17.3,6.2,22000.0,22000.0,22000.0,2400.0,160000.0,115700.0,8.5,14.1,10.5,1008.5,1012.5,1011.0,Mon
Brisbane,1945,04,16,0.0,16.9,24.6,20.3,8.7,450.0,22000.0,7907.9,3200.0,160000.0,128600.0,14.6,16.9,15.5,1020.7,1023.7,1022.1,Mon
Brisbane,1945,04,23,0.0,18.5,27.4,21.7,4.6,750.0,22000.0,6820.8,11200.0,160000.0,147733.3,13.5,18.0,16.8,1017.6,1021.3,1019.1,Mon
Brisbane,1945,04,30,0.0,17.4,25.7,19.9,4.1,450.0,22000.0,10026.7,3200.0,160000.0,122000.0,16.3,17.4,17.0,1019.0,1021.7,1020.0,Mon
Brisbane,1945,05,07,0.0,15.7,24.1,19.6,6.7,1350.0,22000.0,12885.4,9600.0,160000.0,153733.3,5.8,19.6,13.8,1006.4,1010.8,1007.8,Mon
Brisbane,1945,05,14,0.0,15.2,25.7,18.8,4.6,450.0,22000.0,3670.8,4000.0,160000.0,96500.0,12.4,18.5,15.3,1008.5,1011.2,1009.5,Mon
Brisbane,1945,05,21,0.0,13.5,23.0,17.6,5.1,750.0,22000.0,14787.5,4800.0,160000.0,77733.3,9.6,15.2,13.5,1019.6,1025.4,1022.4,Mon
