@relation 'day-of-week-data/perth.train'
@attribute F0 {Perth}
@attribute F1 real
@attribute F2 real
@attribute F3 real
@attribute F4 real
@attribute F5 real
@attribute F6 real
@attribute F7 real
@attribute F8 real
@attribute F9 real
@attribute F10 real
@attribute F11 real
@attribute F12 real
@attribute F13 real
@attribute F14 real
@attribute F15 real
@attribute F16 real
@attribute F17 real
@attribute F18 real
@attribute F19 real
@attribute F20 real
@attribute F21 {Sat,Fri,Sun,Thu,Wed,Tue,Mon}
@data
Perth,1945,01,01,0.0,17.8,36.7,25.2,7.2,?,?,?,?,?,?,6.0,14.0,10.7,?,?,?,Mon
Perth,1945,01,08,0.0,14.9,21.8,18.2,6.7,?,?,?,?,?,?,6.0,11.0,8.3,?,?,?,Mon
Perth,1945,01,15,0.0,16.7,28.7,21.6,9.8,?,?,?,?,?,?,4.0,14.0,9.7,?,?,?,Mon
Perth,1945,01,29,0.0,13.9,26.8,21.0,12.3,?,?,?,?,?,?,4.0,13.0,8.7,?,?,?,Mon
Perth,1945,02,12,0.0,21.7,36.6,28.9,11.3,?,?,?,?,?,?,9.0,20.0,14.0,?,?,?,Mon
Perth,1945,02,19,0.0,17.2,29.5,22.6,8.2,?,?,?,?,?,?,6.0,11.0,8.4,?,?,?,Mon
Perth,1945,02,26,0.0,17.7,26.2,21.4,4.1,?,?,?,?,?,?,11.0,17.0,14.4,?,?,?,Mon
Perth,1945,03,05,0.0,17.2,32.2,24.2,6.7,?,?,?,?,?,?,5.0,14.0,10.6,?,?,?,Mon
Perth,1945,03,19,0.0,18.8,32.3,23.7,5.7,?,?,?,?,?,?,11.0,17.0,14.7,?,?,?,Mon
Perth,1945,03,26,0.0,19.1,27.8,23.2,6.2,?,?,?,?,?,?,14.0,17.0,15.7,?,?,?,Mon
Perth,1945,04,02,0.0,17.7,26.2,21.9,3.6,?,?,?,?,?,?,13.0,18.0,15.7,?,?,?,Mon
Perth,1945,04,09,0.0,15.0,24.0,19.5,6.2,?,?,?,?,?,?,9.0,14.0,11.4,?,?,?,Mon
Perth,1945,04,23,0.0,20.1,29.9,24.7,9.8,?,?,?,?,?,?,7.0,10.0,8.1,?,?,?,Mon
Perth,1945,04,30,0.0,13.9,25.5,18.4,4.6,?,?,?,?,?,?,9.0,13.0,11.6,?,?,?,Mon
Perth,1945,05,07,0.0,13.2,23.3,17.9,2.6,?,?,?,?,?,?,9.0,13.0,11.7,?,?,?,Mon
Perth,1945,05,21,0.0,13.9,18.4,16.2,7.2,?,?,?,?,?,?,8.0,14.0,11.7,?,?,?,Mon
Perth,1945,05,28,0.0,16.3,20.7,18.4,4.6,?,?,?,?,?,?,12.0,16.0,14.7,?,?,?,Mon
Perth,1945,06,04,0.0,11.7,20.6,15.3,4.6,?,?,?,?,?,?,8.0,13.0,10.0,?,?,?,Mon
Perth,1945,06,11,0.0,15.6,20.2,17.4,10.8,?,?,?,?,?,?,13.0,14.0,13.7,?,?,?,Mon
Perth,1945,06,18,0.0,12.3,15.4,14.0,9.3,?,?,?,?,?,?,9.0,12.0,10.3,?,?,?,Mon
Perth,1945,07,02,0.0,10.3,18.7,13.8,4.6,?,?,?,?,?,?,7.0,11.0,9.5,?,?,?,Mon
Perth,1945,07,09,0.0,7.7,17.7,11.9,5.1,?,?,?,?,?,?,5.0,8.0,6.9,?,?,?,Mon
Perth,1945,07,16,0.0,9.0,16.2,12.1,6.2,?,?,?,?,?,?,7.0,9.0,8.0,?,?,?,Mon
Perth,1945,07,30,0.0,6.5,13.7,9.7,5.7,?,?,?,?,?,?,2.0,5.0,3.6,?,?,?,Mon
Perth,1945,08,06,0.0,10.4,15.2,12.2,4.6,?,?,?,?,?,?,9.0,13.0,11.0,?,?,?,Mon
Perth,1945,08,27,0.0,9.8,17.2,13.0,4.6,?,?,?,?,?,?,9.0,12.0,10.7,?,?,?,Mon
Perth,1945,09,03,0.0,8.9,18.7,13.6,4.1,?,?,?,?,?,?,8.0,11.0,9.5,?,?,?,Mon
Perth,1945,09,10,0.0,14.1,16.1,14.9,6.7,?,?,?,?,?,?,6.0,9.0,8.0,?,?,?,Mon
Perth,1945,09,17,0.0,10.0,17.2,13.4,11.8,?,?,?,?,?,?,6.0,13.0,8.7,?,?,?,Mon
Perth,1945,09,24,0.0,14.2,19.9,16.2,5.1,?,?,?,?,?,?,11.0,14.0,12.6,?,?,?,Mon
Perth,1945,10,01,0.0,11.1,24.4,17.0,6.7,?,?,?,?,?,?,0.0,8.0,4.3,?,?,?,Mon
Perth,1945,10,08,0.0,12.1,18.9,15.2,6.7,?,?,?,?,?,?,7.0,9.0,8.0,?,?,?,Mon
Perth,1945,10,15,0.0,12.8,22.7,17.7,6.7,?,?,?,?,?,?,3.0,4.0,3.3,?,?,?,Mon
Perth,1945,10,22,0.0,7.6,17.4,12.7,8.7,?,?,?,?,?,?,4.0,12.0,7.4,?,?,?,Mon
Perth,1945,10,29,0.0,16.7,27.4,21.4,7.7,?,?,?,?,?,?,2.0,8.0,4.3,?,?,?,Mon
Perth,1945,11,05,0.0,13.3,21.8,17.7,5.7,?,?,?,?,?,?,10.0,12.0,11.1,?,?,?,Mon
Perth,1945,11,12,0.0,15.6,21.1,18.4,8.7,?,?,?,?,?,?,14.0,17.0,15.7,?,?,?,Mon
Perth,1945,11,26,0.0,13.3,22.2,18.0,8.2,?,?,?,?,?,?,10.0,12.0,11.0,?,?,?,Mon
Perth,1945,12,03,0.0,18.2,27.2,22.2,5.1,?,?,?,?,?,?,9.0,17.0,12.3,?,?,?,Mon
Perth,1945,12,10,0.0,16.6,24.4,20.4,8.2,?,?,?,?,?,?,12.0,16.0,14.3,?,?,?,Mon
Perth,1945,12,17,0.0,18.9,29.2,23.3,8.2,?,?,?,?,?,?,8.0,14.0,10.6,?,?,?,Mon
Perth,1946,01,07,0.0,17.1,28.8,21.8,12.3,?,?,?,?,?,?,12.0,19.0,16.0,?,?,?,Mon
Perth,1946,01,14,0.0,16.1,30.6,23.3,7.2,?,?,?,?,?,?,6.0,15.0,11.4,?,?,?,Mon
Perth,1946,01,21,0.0,12.4,23.2,18.1,7.2,?,?,?,?,?,?,4.0,14.0,9.1,?,?,?,Mon
Perth,1946,01,28,0.0,15.4,23.9,19.7,6.2,?,?,?,?,?,?,9.0,14.0,11.6,?,?,?,Mon
Perth,1946,02,04,0.0,20.9,35.0,27.6,5.1,?,?,?,?,?,?,13.0,19.0,17.0,?,?,?,Mon
Perth,1946,02,11,0.0,17.1,28.9,23.0,10.3,?,?,?,?,?,?,2.0,8.0,6.6,?,?,?,Mon
Perth,1946,02,18,0.0,16.3,29.1,22.2,6.7,?,?,?,?,?,?,7.0,17.0,13.6,?,?,?,Mon
Perth,1946,02,25,0.0,14.0,23.3,18.3,8.2,?,?,?,?,?,?,4.0,11.0,5.7,?,?,?,Mon
Perth,1946,03,18,0.0,14.5,26.2,19.8,6.2,?,?,?,?,?,?,10.0,16.0,13.3,?,?,?,Mon
Perth,1946,03,25,0.0,17.6,28.0,22.5,6.2,?,?,?,?,?,?,5.0,8.0,6.3,?,?,?,Mon
Perth,1946,04,01,0.0,15.9,25.6,20.5,7.2,?,?,?,?,?,?,14.0,18.0,15.6,?,?,?,Mon
Perth,1946,04,08,0.0,18.3,31.1,23.0,4.1,?,?,?,?,?,?,11.0,15.0,13.0,?,?,?,Mon
Perth,1946,04,15,0.0,20.0,31.7,24.2,6.2,?,?,?,?,?,?,3.0,16.0,9.6,?,?,?,Mon
Perth,1946,04,22,0.0,11.9,16.7,14.1,7.2,?,?,?,?,?,?,3.0,8.0,6.3,?,?,?,Mon
Perth,1946,05,13,0.0,13.3,18.3,15.9,6.2,?,?,?,?,?,?,11.0,14.0,13.1,?,?,?,Mon
Perth,1946,05,20,0.0,11.2,18.9,15.1,5.7,?,?,?,?,?,?,8.0,13.0,9.7,?,?,?,Mon
Perth,1946,06,10,0.0,9.4,16.8,12.2,3.6,?,?,?,?,?,?,4.0,7.0,6.0,?,?,?,Mon
Perth,1946,06,17,0.0,7.8,17.8,12.8,5.1,?,?,?,?,?,?,4.0,7.0,5.7,?,?,?,Mon
Perth,1946,07,01,0.0,9.6,17.2,13.3,8.7,?,?,?,?,?,?,6.0,14.0,9.3,?,?,?,Mon
Perth,1946,07,08,0.0,13.3,16.7,14.8,7.7,?,?,?,?,?,?,9.0,12.0,10.3,?,?,?,Mon
Perth,1946,07,15,0.0,8.9,14.4,11.6,15.4,?,?,?,?,?,?,4.0,11.0,8.2,?,?,?,Mon
Perth,1946,07,22,0.0,10.0,15.6,12.4,8.2,?,?,?,?,?,?,6.0,11.0,8.3,?,?,?,Mon
Perth,1946,08,05,0.0,10.7,16.8,13.2,5.1,?,?,?,?,?,?,8.0,11.0,9.9,?,?,?,Mon
Perth,1946,08,12,0.0,7.4,15.4,11.0,6.7,?,?,?,?,?,?,5.0,10.0,7.4,?,?,?,Mon
Perth,1946,08,19,0.0,5.3,13.4,9.4,7.2,?,?,?,?,?,?,3.0,12.0,7.0,?,?,?,Mon
Perth,1946,08,26,0.0,6.6,15.6,10.8,9.3,?,?,?,?,?,?,2.0,7.0,5.1,?,?,?,Mon
Perth,1946,09,02,0.0,7.4,16.3,12.0,4.6,?,?,?,?,?,?,7.0,9.0,8.3,?,?,?,Mon
Perth,1946,09,09,0.0,15.0,21.7,18.0,11.3,?,?,?,?,?,?,7.0,13.0,11.0,?,?,?,Mon
Perth,1946,09,16,0.0,7.9,15.2,11.2,4.6,?,?,?,?,?,?,1.0,6.0,4.3,?,?,?,Mon
Perth,1946,09,30,0.0,14.2,20.5,16.7,5.1,?,?,?,?,?,?,2.0,12.0,9.9,?,?,?,Mon
Perth,1946,10,07,0.0,12.2,21.2,16.5,5.1,?,?,?,?,?,?,9.0,12.0,10.4,?,?,?,Mon
Perth,1946,10,14,0.0,9.0,20.6,14.6,6.2,?,?,?,?,?,?,2.0,6.0,3.7,?,?,?,Mon
Perth,1946,10,21,0.0,10.4,21.2,15.7,5.1,?,?,?,?,?,?,5.0,10.0,7.4,?,?,?,Mon
Perth,1946,10,28,0.0,14.9,26.8,20.5,5.7,?,?,?,?,?,?,9.0,14.0,11.7,?,?,?,Mon
Perth,1946,11,11,0.0,14.0,15.7,14.9,13.4,?,?,?,?,?,?,11.0,13.0,12.0,?,?,?,Mon
Perth,1946,11,18,0.0,14.6,27.9,20.7,6.7,?,?,?,?,?,?,5.0,14.0,12.0,?,?,?,Mon
Perth,1946,11,25,0.0,17.1,26.1,21.2,6.7,?,?,?,?,?,?,9.0,16.0,11.7,?,?,?,Mon
Perth,1946,12,02,0.0,15.2,24.6,19.3,7.2,?,?,?,?,?,?,12.0,13.0,12.3,?,?,?,Mon
Perth,1946,12,23,0.0,16.6,22.3,19.2,6.7,?,?,?,?,?,?,8.0,14.0,10.6,?,?,?,Mon
Perth,1946,12,30,0.0,15.4,22.8,19.3,7.2,?,?,?,?,?,?,8.0,13.0,11.4,?,?,?,Mon
Perth,1947,01,06,0.0,19.5,29.6,22.8,3.6,?,?,?,?,?,?,4.0,14.0,9.1,?,?,?,Mon
Perth,1947,01,13,0.0,16.1,24.5,20.4,6.7,?,?,?,?,?,?,7.0,12.0,9.6,?,?,?,Mon
Perth,1947,01,20,0.0,16.0,23.4,19.5,3.6,?,?,?,?,?,?,7.0,12.0,9.0,?,?,?,Mon
Perth,1947,01,27,0.0,17.8,22.2,20.0,8.2,?,?,?,?,?,?,11.0,16.0,13.2,?,?,?,Mon
Perth,1947,02,03,0.0,19.5,27.1,22.8,3.6,?,?,?,?,?,?,12.0,16.0,14.0,?,?,?,Mon
Perth,1947,02,17,0.0,14.9,24.5,19.6,8.2,?,?,?,?,?,?,6.0,11.0,8.8,?,?,?,Mon
Perth,1947,03,03,0.0,17.2,28.4,22.7,8.7,?,?,?,?,?,?,1.0,11.0,7.2,?,?,?,Mon
Perth,1947,03,10,0.0,13.4,22.8,18.3,6.7,?,?,?,?,?,?,9.0,15.0,12.4,?,?,?,Mon
